,Date,Open,High,Low,Close,Volume,slowK,Signal
0,1/4/2000,45.5,46.0,45.25,45.75,37461,,-1
1,1/5/2000,43.5,44.25,43.0,43.5,27363,,-1
2,1/6/2000,43.75,43.75,42.25,42.5,11591,,-1
3,1/7/2000,43.0,44.0,42.5,43.75,9750,,-1
4,1/10/2000,44.5,45.25,43.75,43.75,17305,,-1
5,1/11/2000,44.25,44.5,43.0,43.0,10539,,-1
6,1/12/2000,42.75,43.75,42.75,43.75,5430,38.333333333333336,-1
7,1/13/2000,43.5,44.0,43.25,43.5,4684,37.121212121212125,-1
8,1/14/2000,44.0,44.5,43.75,44.5,8893,52.121212121212125,-1
9,1/17/2000,45.25,45.75,45.0,45.0,24458,60.45454545454546,-1
10,1/18/2000,45.0,46.25,45.0,46.25,18248,81.66666666666667,-1
11,1/19/2000,45.5,46.5,45.5,46.5,20148,91.66666666666667,-1
12,1/20/2000,46.5,47.0,46.25,46.5,18246,94.87179487179488,-1
13,1/21/2000,46.0,46.0,45.0,45.25,15097,65.7051282051282,-1
14,1/24/2000,45.25,45.5,44.25,44.75,5300,38.43240093240093,-1
15,1/25/2000,44.25,44.25,43.25,44.25,7996,19.116161616161616,-1
16,1/26/2000,44.5,44.5,43.5,43.5,12071,17.171717171717173,-1
17,1/27/2000,43.75,44.25,43.5,44.25,3250,23.23232323232323,1
18,1/28/2000,44.25,44.5,44.25,44.5,3141,32.861952861952865,1
19,1/31/2000,43.75,44.25,43.5,43.75,5535,43.97306397306397,1
20,2/1/2000,44.25,44.75,43.5,43.5,5826,31.85185185185185,1
21,2/2/2000,44.0,44.0,42.75,43.0,6874,17.5,1
22,2/3/2000,43.0,43.25,41.75,42.5,11475,12.5,1
23,2/4/2000,42.5,43.0,42.0,43.0,6648,26.38888888888889,1
24,2/7/2000,42.75,42.75,42.0,42.0,4442,25.0,1
25,2/8/2000,42.5,42.5,41.0,41.0,10609,16.666666666666668,1
26,2/9/2000,41.25,41.25,39.75,39.75,17379,2.7777777777777772,1
27,2/10/2000,39.5,40.0,39.25,39.75,10142,4.444444444444445,1
28,2/11/2000,40.0,40.25,38.0,39.0,17426,11.461988304093566,1
29,2/14/2000,38.5,38.5,37.0,37.25,9949,12.977139819245082,1
30,2/15/2000,37.25,38.5,36.75,37.75,16159,15.940102782208044,1
31,2/16/2000,38.0,38.25,37.0,37.0,18289,11.303511303511305,1
32,2/17/2000,37.0,37.25,35.0,35.75,19427,14.55026455026455,1
33,2/18/2000,35.75,36.0,34.0,35.0,30863,14.55026455026455,1
34,2/22/2000,34.0,34.0,31.5,31.5,39894,12.16931216931217,1
35,2/23/2000,31.5,33.5,31.0,33.25,18530,17.752234993614305,1
36,2/24/2000,33.5,34.25,33.25,33.5,17593,23.678160919540232,1
37,2/25/2000,33.5,33.5,32.25,33.25,12470,38.67816091954023,1
38,2/28/2000,32.5,32.5,31.25,31.5,14812,33.46153846153846,1
39,2/29/2000,31.75,32.25,29.5,29.5,21454,20.128205128205128,1
40,3/1/2000,30.0,30.5,28.0,28.25,34442,6.461538461538463,1
41,3/2/2000,28.25,31.0,28.25,30.75,29043,18.0,1
42,3/3/2000,31.5,31.5,29.0,29.5,20966,29.11111111111111,1
43,3/6/2000,28.25,28.75,27.5,28.25,10231,33.040935672514614,1
44,3/7/2000,28.0,29.25,27.75,29.0,4951,28.874269005847953,1
45,3/8/2000,28.25,29.5,28.25,29.25,7046,32.34649122807017,1
46,3/9/2000,29.75,30.75,29.25,30.0,8482,47.916666666666664,1
47,3/10/2000,30.5,31.5,30.0,31.25,15802,66.66666666666667,1
48,3/13/2000,31.25,31.25,29.75,30.25,4026,74.30555555555556,1
49,3/14/2000,30.0,31.75,30.0,31.75,6601,86.80555555555554,1
50,3/15/2000,31.75,32.5,30.5,30.5,10882,68.37606837606837,-1
51,3/16/2000,31.0,32.0,31.0,32.0,7678,73.42657342657343,-1
52,3/17/2000,33.0,33.25,32.0,32.0,7416,61.521811521811536,-1
53,3/20/2000,32.5,32.5,31.75,31.75,2287,66.65001665001667,-1
54,3/21/2000,32.0,32.75,31.75,32.0,3339,57.55910755910756,-1
55,3/22/2000,32.25,32.25,30.75,31.0,5142,39.463869463869464,-1
56,3/23/2000,31.0,31.75,31.0,31.5,1587,31.515151515151512,-1
57,3/24/2000,31.75,33.0,31.75,32.75,5485,42.96296296296296,-1
58,3/27/2000,33.0,33.5,32.75,32.75,7028,63.87205387205387,-1
59,3/28/2000,33.0,33.75,33.0,33.0,8822,78.87205387205387,-1
60,3/29/2000,34.0,34.25,33.25,33.75,8892,77.44755244755244,-1
61,3/30/2000,33.75,34.0,31.75,32.25,7248,59.87179487179486,-1
62,3/31/2000,32.0,32.5,31.75,32.25,3534,41.53846153846154,-1
63,4/3/2000,32.25,32.75,32.25,32.5,1715,23.333333333333332,-1
64,4/4/2000,32.25,32.25,31.5,32.0,2586,22.72727272727273,-1
65,4/5/2000,32.25,32.75,32.25,32.5,2090,29.393939393939394,-1
66,4/7/2000,33.0,33.25,32.75,33.0,3485,47.96536796536797,-1
67,4/10/2000,33.5,33.5,32.75,33.5,3287,75.23809523809524,-1
68,4/11/2000,33.0,33.0,32.5,33.0,1506,86.90476190476191,-1
69,4/12/2000,32.75,34.25,32.75,34.25,6367,91.66666666666667,-1
70,4/17/2000,32.0,33.25,31.75,33.0,6975,75.0,-1
71,4/18/2000,33.5,34.0,33.0,33.0,6089,66.66666666666667,-1
72,4/19/2000,33.25,33.75,33.0,33.0,3651,50.0,-1
73,4/20/2000,33.5,33.75,33.5,33.5,2315,56.666666666666664,-1
74,4/21/2000,33.75,34.0,33.0,33.5,6352,65.92592592592592,-1
75,4/24/2000,33.5,33.5,32.75,33.0,13507,55.925925925925924,-1
76,4/25/2000,33.0,33.25,32.75,33.0,7149,39.25925925925926,-1
77,4/26/2000,33.0,33.0,32.0,32.25,6155,17.5,-1
78,4/27/2000,32.25,32.75,32.25,32.75,7324,23.333333333333332,1
79,4/28/2000,32.5,32.5,31.75,31.75,8298,16.666666666666668,1
80,5/2/2000,31.75,32.0,30.5,30.5,9096,12.5,1
81,5/3/2000,30.5,30.5,29.5,29.5,12257,0.0,1
82,5/4/2000,29.5,30.0,29.25,29.5,6901,2.380952380952381,1
83,5/8/2000,29.5,29.5,28.5,28.75,7154,4.464285714285714,1
84,5/9/2000,28.5,28.75,28.0,28.0,10945,4.464285714285714,1
85,5/10/2000,28.0,28.0,26.25,26.75,21968,6.004901960784314,1
86,5/11/2000,26.25,26.5,25.5,25.5,18838,3.9215686274509802,1
87,5/12/2000,26.0,26.5,25.75,26.0,15530,8.088235294117647,1
88,5/15/2000,26.0,26.0,25.0,25.5,6717,8.611111111111112,1
89,5/16/2000,26.0,27.25,25.5,27.25,11375,33.611111111111114,1
90,5/18/2000,26.25,26.5,25.75,26.5,9285,51.666666666666664,1
91,5/19/2000,26.5,26.5,25.75,25.75,12945,58.333333333333336,1
92,5/22/2000,25.25,25.25,24.0,24.25,17116,35.8974358974359,1
93,5/23/2000,24.0,24.0,23.0,23.0,10785,13.675213675213678,1
94,5/24/2000,22.75,23.25,22.0,23.25,8807,11.823361823361829,1
95,5/25/2000,23.75,24.0,22.5,22.75,9365,14.814814814814818,1
96,5/26/2000,22.75,23.25,21.0,23.0,14063,30.501089324618743,1
97,5/29/2000,23.25,23.5,22.75,22.75,4088,40.68627450980392,1
98,5/30/2000,23.0,23.0,22.5,22.5,1622,51.79738562091504,1
